# nextLevelClosed 13
# nextLevelOpen 12

# 5 6		# 6 5
# 7 8		# 8 7
# 9 10		# 10 9
# 26 27	# 27 26

# 11 0

# count 27

# width 16 
# height 16 

# textureMap 
62 39 49	115 62 57 	115 62 57 	24 20 37 	24 20 37 	115 62 57 	115 62 57 	115 62 57 	115 62 57 	115 62 57 	135 77 64 	24 20 37 	24 20 37 	47 31 44 	47 31 44 	47 31 44 
115 62 57 	115 62 57 	135 77 64 	78 45 51 	24 20 37 	47 31 44 	47 31 44 	115 62 57 	115 62 57 	115 62 57 	115 62 57 	135 77 64 	78 45 51 	78 45 51 	24 20 37 	115 62 57 
115 62 57 	115 62 57 	135 77 64 	78 45 51 	24 20 37 	24 20 37 	47 31 44 	47 31 44 	47 31 44 	78 45 51 	78 45 51 	78 45 51 	78 45 51 	24 20 37 	115 62 57 	115 62 57 
115 62 57 	135 77 64 	78 45 51 	24 20 37 	24 20 37 	115 62 57 	115 62 57 	135 77 64 	47 31 44 	47 31 44 	47 31 44 	47 31 44 	24 20 37 	115 62 57 	115 62 57 	115 62 57
115 62 57 	78 45 51 	24 20 37 	24 20 37 	115 62 57 	115 62 57 	115 62 57 	115 62 57 	135 77 64 	24 20 37 	24 20 37 	24 20 37 	47 31 44 	115 62 57 	115 62 57 	115 62 57 
78 45 51 	24 20 37 	62 39 49 	24 20 37 	115 62 57 	115 62 57 	115 62 57 	115 62 57 	115 62 57 	135 77 64 	24 20 37 	24 20 37 	47 31 44 	78 45 51 	115 62 57 	115 62 57
 
58 68 102 	69 82 114 	69 82 114 	38 43 68 	69 82 114 	69 82 114 	69 82 114 	69 82 114 	58 68 102 	69 82 114 	69 82 114 	38 43 68 	69 82 114 	69 82 114 	58 68 102 	58 68 102 
58 68 102 	58 68 102 	58 68 102 	38 43 68 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	69 82 114 	38 43 68 	58 68 102 	58 68 102 	58 68 102 	58 68 102
58 68 102 	58 68 102 	58 68 102 	38 43 68 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	69 82 114 	34 38 61 	58 68 102 	58 68 102 	58 68 102 	58 68 102 
38 43 68 	38 43 68 	34 38 61 	34 38 61 	34 38 61 	38 43 68 	38 43 68 	38 43 68 	38 43 68 	34 38 61 	34 38 61 	34 38 61 	34 38 61 	38 43 68 	38 43 68 	38 43 68 
38 43 68 	69 82 114 	69 82 114 	58 68 102 	58 68 102 	69 82 114 	69 82 114 	69 82 114 	38 43 68 	69 82 114 	69 82 114 	69 82 114 	69 82 114 	69 82 114 	69 82 114 	69 82 114 
38 43 68 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	38 43 68 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	69 82 114 
38 43 68 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	34 38 61 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	69 82 114 
34 38 61 	34 38 61 	38 43 68 	38 43 68 	38 43 68 	38 43 68 	34 38 61 	34 38 61 	34 38 61 	34 38 61 	34 38 61 	34 38 61 	38 43 68 	38 43 68 	34 38 61 	34 38 61 
69 82 114 	69 82 114 	69 82 114 	38 43 68 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	69 82 114 	69 82 114 	69 82 114 	34 38 61 	69 82 114 	69 82 114 	58 68 102 	58 68 102 
58 68 102 	58 68 102 	69 82 114 	38 43 68 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	69 82 114 	38 43 68 	58 68 102 	58 68 102 	58 68 102 	58 68 102 
58 68 102 	58 68 102 	69 82 114 	34 38 61 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	69 82 114 	38 43 68 	58 68 102 	58 68 102 	58 68 102 	58 68 102 
34 38 61 	34 38 61 	38 43 68 	34 38 61 	34 38 61 	34 38 61 	34 38 61 	38 43 68 	38 43 68 	34 38 61 	34 38 61 	34 38 61 	34 38 61 	34 38 61 	34 38 61 	34 38 61 
38 43 68 	58 68 102 	58 68 102 	58 68 102 	69 82 114 	69 82 114 	69 82 114 	69 82 114 	38 43 68 	69 82 114 	69 82 114 	58 68 102 	58 68 102 	69 82 114 	69 82 114 	69 82 114 
38 43 68 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	69 82 114 	38 43 68 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 
34 38 61 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	69 82 114 	34 38 61 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 
34 38 61 	34 38 61 	38 43 68 	38 43 68 	38 43 68 	34 38 61 	34 38 61 	34 38 61 	34 38 61 	34 38 61 	34 38 61 	34 38 61 	38 43 68 	38 43 68 	34 38 61 	34 38 61 

36 71 32 	36 71 32 	36 71 32 	44 84 0 	36 71 32 	36 71 32 	36 71 32 	62 93 41 	62 93 41 	43 77 29 	43 77 29 	36 71 32 	62 93 41 	62 93 41 	36 71 32 	43 77 29 
43 77 29 	62 93 41 	36 71 32 	62 93 41 	62 93 41 	63 100 11 	44 84 0 	36 71 32 	43 77 29 	62 93 41 	62 93 41 	44 84 0 	36 71 32 	36 71 32 	36 71 32 	36 71 32 
36 71 32 	36 71 32 	49 83 33 	49 83 33 	36 71 32 	55 94 7 	62 93 41 	62 93 41 	62 93 41 	49 83 33 	62 93 41 	43 77 29 	43 77 29 	70 106 16 	44 84 0 	36 71 32 
36 71 32 	43 77 29 	55 94 7 	36 71 32 	36 71 32 	36 71 32 	49 83 33 	43 77 29 	36 71 32 	55 94 7 	49 83 33 	62 93 41 	49 83 33 	55 94 7 	36 71 32 	43 77 29 
36 71 32 	43 77 29 	70 106 16 	55 94 7 	49 83 33 	55 94 7 	36 71 32 	49 83 33 	55 94 7 	70 106 16 	49 83 33 	62 93 41 	49 83 33 	62 93 41 	43 77 29 	36 71 32 
62 93 41 	36 71 32 	36 71 32 	49 83 33 	62 93 41 	49 83 33 	62 93 41 	62 93 41 	62 93 41 	62 93 41 	62 93 41 	49 83 33 	49 83 33 	62 93 41 	62 93 41 	36 71 32 
36 71 32 	44 84 0 	49 83 33 	36 71 32 	62 93 41 	49 83 33 	49 83 33 	36 71 32 	49 83 33 	62 93 41 	49 83 33 	70 106 16 	55 94 7 	49 83 33 	36 71 32 	44 84 0 
43 77 29 	43 77 29 	62 93 41 	62 93 41 	36 71 32 	55 94 7 	70 106 16 	49 83 33 	36 71 32 	49 83 33 	49 83 33 	55 94 7 	49 83 33 	36 71 32 	62 93 41 	36 71 32 
43 77 29 	36 71 32 	49 83 33 	62 93 41 	36 71 32 	49 83 33 	55 94 7 	49 83 33 	55 94 7 	62 93 41 	62 93 41 	49 83 33 	49 83 33 	49 83 33 	62 93 41 	36 71 32 
36 71 32 	62 93 41 	55 94 7 	70 106 16 	49 83 33 	49 83 33 	36 71 32 	49 83 33 	49 83 33 	62 93 41 	49 83 33 	49 83 33 	36 71 32 	55 94 7 	36 71 32 	36 71 32 
36 71 32 	36 71 32 	49 83 33 	55 94 7 	36 71 32 	62 93 41 	62 93 41 	36 71 32 	36 71 32 	49 83 33 	36 71 32 	62 93 41 	62 93 41 	49 83 33 	43 77 29 	36 71 32 
62 93 41 	43 77 29 	36 71 32 	49 83 33 	49 83 33 	49 83 33 	62 93 41 	49 83 33 	70 106 16 	55 94 7 	49 83 33 	62 93 41 	49 83 33 	36 71 32 	62 93 41 	36 71 32 
36 71 32 	36 71 32 	49 83 33 	49 83 33 	36 71 32 	49 83 33 	49 83 33 	36 71 32 	55 94 7 	36 71 32 	49 83 33 	36 71 32 	55 94 7 	49 83 33 	36 71 32 	43 77 29 
36 71 32 	44 84 0 	49 83 33 	36 71 32 	55 94 7 	70 106 16 	49 83 33 	62 93 41 	49 83 33 	49 83 33 	49 83 33 	49 83 33 	70 106 16 	55 94 7 	43 77 29 	36 71 32 
36 71 32 	36 71 32 	36 71 32 	43 77 29 	36 71 32 	44 84 0 	36 71 32 	62 93 41 	62 93 41 	43 77 29 	44 84 0 	36 71 32 	36 71 32 	43 77 29 	43 77 29 	62 93 41 
62 93 41 	36 71 32 	43 77 29 	43 77 29 	62 93 41 	36 71 32 	36 71 32 	43 77 29 	43 77 29 	62 93 41 	36 71 32 	43 77 29 	43 77 29 	62 93 41 	36 71 32 	43 77 29 

170 139 90 	187 151 101	150 120 76 	187 151 101 	187 151 101 	179 146 96 	179 146 96 	179 146 96 	179 146 96 	179 146 96 	179 146 96 	187 151 101 	187 151 101 	187 151 101 	170 139 90 	170 139 90 
170 139 90 	170 139 90 	150 120 76 	187 151 101 	187 151 101 	187 151 101 	170 139 90 	170 139 90 	170 139 90 	179 146 96 	179 146 96 	179 146 96 	170 139 90 	170 139 90 	170 139 90 	170 139 90 
187 151 101 	187 151 101 	150 120 76 	187 151 101 	170 139 90 	170 139 90 	187 151 101 	187 151 101 	187 151 101 	187 151 101 	187 151 101 	187 151 101 	187 151 101 	187 151 101 	187 151 101 	187 151 101 
126 98 59 	126 98 59 	126 98 59 	107 84 48 	117 92 54 	117 92 54 	126 98 59 	117 92 54 	117 92 54 	117 92 54 	107 84 48 	107 84 48 	117 92 54 	126 98 59 	126 98 59 	126 98 59 
170 139 90 	170 139 90 	187 151 101 	187 151 101 	170 139 90 	170 139 90 	170 139 90 	170 139 90 	187 151 101 	187 151 101 	150 120 76 	187 151 101 	187 151 101 	179 146 96 	170 139 90 	170 139 90 
170 139 90 	170 139 90 	170 139 90 	170 139 90 	187 151 101 	170 139 90 	179 146 96 	179 146 96 	179 146 96 	187 151 101 	150 120 76 	187 151 101 	187 151 101 	187 151 101 	187 151 101 	170 139 90 
170 139 90 	179 146 96 	179 146 96 	179 146 96 	179 146 96 	187 151 101 	187 151 101 	187 151 101 	187 151 101 	187 151 101 	126 98 59 	187 151 101 	179 146 96 	170 139 90 	170 139 90 	170 139 90 
107 84 48 	107 84 48 	107 84 48 	107 84 48 	107 84 48 	107 84 48 	107 84 48 	107 84 48 	126 98 59 	126 98 59 	126 98 59 	107 84 48 	107 84 48 	107 84 48 	126 98 59 	126 98 59 
179 146 96 	187 151 101 	179 146 96 	179 146 96 	187 151 101 	187 151 101 	150 120 76 	187 151 101 	187 151 101 	187 151 101 	187 151 101 	187 151 101 	187 151 101 	187 151 101 	187 151 101 	187 151 101 
179 146 96 	179 146 96 	187 151 101 	179 146 96 	179 146 96 	187 151 101 	150 120 76 	187 151 101 	179 146 96 	179 146 96 	179 146 96 	170 139 90 	170 139 90 	170 139 90 	170 139 90 	170 139 90 
170 139 90 	170 139 90 	170 139 90 	187 151 101 	187 151 101 	187 151 101 	150 120 76 	187 151 101 	179 146 96 	179 146 96 	170 139 90 	170 139 90 	170 139 90 	170 139 90 	187 151 101 	187 151 101 
107 84 48 	107 84 48 	107 84 48 	126 98 59 	126 98 59 	126 98 59 	126 98 59 	107 84 48 	107 84 48 	117 92 54 	117 92 54 	117 92 54 	126 98 59 	126 98 59 	107 84 48 	107 84 48 
187 151 101 	187 151 101 	187 151 101 	179 146 96 	179 146 96 	179 146 96 	179 146 96 	187 151 101 	187 151 101 	187 151 101 	170 139 90 	170 139 90 	179 146 96 	187 151 101 	150 120 76 	170 139 90 
179 146 96 	187 151 101 	179 146 96 	170 139 90 	170 139 90 	170 139 90 	170 139 90 	170 139 90 	170 139 90 	170 139 90 	170 139 90 	179 146 96 	187 151 101 	179 146 96 	150 120 76 	170 139 90 
170 139 90 	170 139 90 	170 139 90 	187 151 101 	187 151 101 	187 151 101 	187 151 101 	187 151 101 	187 151 101 	187 151 101 	187 151 101 	179 146 96 	179 146 96 	179 146 96 	126 98 59 	187 151 101 
107 84 48 	107 84 48 	117 92 54 	117 92 54 	117 92 54 	117 92 54 	126 98 59 	126 98 59 	117 92 54 	117 92 54 	117 92 54 	126 98 59 	126 98 59 	107 84 48 	117 92 54 	117 92 54

58 68 102 	69 82 114 	69 82 114 	38 43 68 	69 82 114 	69 82 114 	69 82 114 	69 82 114 	58 68 102 	69 82 114 	69 82 114 	38 43 68 	69 82 114 	69 82 114 	58 68 102 	58 68 102 
58 68 102 	58 68 102 	58 68 102 	38 43 68 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	69 82 114 	38 43 68 	58 68 102 	58 68 102 	58 68 102 	58 68 102
58 68 102 	58 68 102 	58 68 102 	38 43 68 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	69 82 114 	34 38 61 	58 68 102 	58 68 102 	58 68 102 	58 68 102 
38 43 68 	38 43 68 	34 38 61 	34 38 61 	34 38 61 	38 43 68 	38 43 68 	38 43 68 	38 43 68 	34 38 61 	34 38 61 	34 38 61 	34 38 61 	38 43 68 	38 43 68 	38 43 68 
38 43 68 	69 82 114 	69 82 114 	58 68 102 	58 68 102 	69 82 114 	69 82 114 	69 82 114 	38 43 68 	69 82 114 	69 82 114 	69 82 114 	69 82 114 	69 82 114 	69 82 114 	69 82 114 
38 43 68 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	255 0 0 	255 0 0 	255 0 0 	255 0 0 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	69 82 114 
38 43 68 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	255 0 0 	255 0 0 	255 0 0 	255 0 0 	255 0 0 	255 0 0	58 68 102 	58 68 102 	58 68 102 	58 68 102 	69 82 114 
34 38 61 	34 38 61 	38 43 68 	38 43 68 	38 43 68 	255 0 0 	255 0 0 	255 0 0 	255 0 0 	255 0 0 	255 0 0 	34 38 61 	38 43 68 	38 43 68 	34 38 61 	34 38 61 
69 82 114 	69 82 114 	69 82 114 	38 43 68 	58 68 102 	255 0 0 	255 0 0 	255 0 0 	255 0 0 	255 0 0 	255 0 0 	34 38 61 	69 82 114 	69 82 114 	58 68 102 	58 68 102 
58 68 102 	58 68 102 	69 82 114 	38 43 68 	58 68 102 	200 0 0 	255 0 0 	255 0 0 	255 0 0 	255 0 0 	200 0 0 	38 43 68 	58 68 102 	58 68 102 	58 68 102 	58 68 102 
58 68 102 	58 68 102 	69 82 114 	34 38 61 	58 68 102 	58 68 102 	200 0 0 	200 0 0 	200 0 0 	200 0 0 	69 82 114 	38 43 68 	58 68 102 	58 68 102 	58 68 102 	58 68 102 
34 38 61 	34 38 61 	38 43 68 	34 38 61 	34 38 61 	34 38 61 	34 38 61 	38 43 68 	38 43 68 	34 38 61 	34 38 61 	34 38 61 	34 38 61 	34 38 61 	34 38 61 	34 38 61 
38 43 68 	58 68 102 	58 68 102 	58 68 102 	69 82 114 	69 82 114 	69 82 114 	69 82 114 	38 43 68 	69 82 114 	69 82 114 	58 68 102 	58 68 102 	69 82 114 	69 82 114 	69 82 114 
38 43 68 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	69 82 114 	38 43 68 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 
34 38 61 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	69 82 114 	34 38 61 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 
34 38 61 	34 38 61 	38 43 68 	38 43 68 	38 43 68 	34 38 61 	34 38 61 	34 38 61 	34 38 61 	34 38 61 	34 38 61 	34 38 61 	38 43 68 	38 43 68 	34 38 61 	34 38 61 

58 68 102 	69 82 114 	69 82 114 	38 43 68 	69 82 114 	69 82 114 	69 82 114 	69 82 114 	58 68 102 	69 82 114 	69 82 114 	38 43 68 	69 82 114 	69 82 114 	58 68 102 	58 68 102 
58 68 102 	58 68 102 	58 68 102 	38 43 68 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	69 82 114 	38 43 68 	58 68 102 	58 68 102 	58 68 102 	58 68 102
58 68 102 	58 68 102 	58 68 102 	38 43 68 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	69 82 114 	34 38 61 	58 68 102 	58 68 102 	58 68 102 	58 68 102 
38 43 68 	38 43 68 	34 38 61 	34 38 61 	34 38 61 	38 43 68 	38 43 68 	38 43 68 	38 43 68 	34 38 61 	34 38 61 	34 38 61 	34 38 61 	38 43 68 	38 43 68 	38 43 68 
38 43 68 	69 82 114 	69 82 114 	58 68 102 	58 68 102 	69 82 114 	69 82 114 	69 82 114 	38 43 68 	69 82 114 	69 82 114 	69 82 114 	69 82 114 	69 82 114 	69 82 114 	69 82 114 
38 43 68 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	38 43 68 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	69 82 114 
38 43 68 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	255 0 0 	255 0 0 	255 0 0 	255 0 0 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	69 82 114 
34 38 61 	34 38 61 	38 43 68 	38 43 68 	38 43 68 	255 0 0 	255 0 0 	255 0 0 	255 0 0 	255 0 0 	255 0 0	34 38 61 	38 43 68 	38 43 68 	34 38 61 	34 38 61 
69 82 114 	69 82 114 	69 82 114 	38 43 68 	58 68 102 	255 0 0 	255 0 0 	255 0 0 	255 0 0 	255 0 0 	255 0 0	34 38 61 	69 82 114 	69 82 114 	58 68 102 	58 68 102 
58 68 102 	58 68 102 	69 82 114 	38 43 68 	58 68 102 	255 0 0 	255 0 0 	255 0 0 	255 0 0 	255 0 0 	255 0 0	38 43 68 	58 68 102 	58 68 102 	58 68 102 	58 68 102 
58 68 102 	58 68 102 	69 82 114 	34 38 61 	58 68 102 	58 68 102 	255 0 0 	255 0 0 	255 0 0 	255 0 0 	69 82 114 	38 43 68 	58 68 102 	58 68 102 	58 68 102 	58 68 102 
34 38 61 	34 38 61 	38 43 68 	34 38 61 	34 38 61 	34 38 61 	34 38 61 	38 43 68 	38 43 68 	34 38 61 	34 38 61 	34 38 61 	34 38 61 	34 38 61 	34 38 61 	34 38 61 
38 43 68 	58 68 102 	58 68 102 	58 68 102 	69 82 114 	69 82 114 	69 82 114 	69 82 114 	38 43 68 	69 82 114 	69 82 114 	58 68 102 	58 68 102 	69 82 114 	69 82 114 	69 82 114 
38 43 68 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	69 82 114 	38 43 68 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 
34 38 61 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	69 82 114 	34 38 61 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 
34 38 61 	34 38 61 	38 43 68 	38 43 68 	38 43 68 	34 38 61 	34 38 61 	34 38 61 	34 38 61 	34 38 61 	34 38 61 	34 38 61 	38 43 68 	38 43 68 	34 38 61 	34 38 61 

58 68 102 	69 82 114 	69 82 114 	38 43 68 	69 82 114 	69 82 114 	69 82 114 	69 82 114 	58 68 102 	69 82 114 	69 82 114 	38 43 68 	69 82 114 	69 82 114 	58 68 102 	58 68 102 
58 68 102 	58 68 102 	58 68 102 	38 43 68 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	69 82 114 	38 43 68 	58 68 102 	58 68 102 	58 68 102 	58 68 102
58 68 102 	58 68 102 	58 68 102 	38 43 68 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	69 82 114 	34 38 61 	58 68 102 	58 68 102 	58 68 102 	58 68 102 
38 43 68 	38 43 68 	34 38 61 	34 38 61 	34 38 61 	38 43 68 	38 43 68 	38 43 68 	38 43 68 	34 38 61 	34 38 61 	34 38 61 	34 38 61 	38 43 68 	38 43 68 	38 43 68 
38 43 68 	69 82 114 	69 82 114 	58 68 102 	58 68 102 	69 82 114 	69 82 114 	69 82 114 	38 43 68 	69 82 114 	69 82 114 	69 82 114 	69 82 114 	69 82 114 	69 82 114 	69 82 114 
38 43 68 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	0 255 0 	0 255 0 	0 255 0 	0 255 0 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	69 82 114 
38 43 68 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	0 255 0 	0 255 0 	0 255 0 	0 255 0 	0 255 0 	0 255 0	58 68 102 	58 68 102 	58 68 102 	58 68 102 	69 82 114 
34 38 61 	34 38 61 	38 43 68 	38 43 68 	38 43 68 	0 255 0 	0 255 0 	0 255 0 	0 255 0 	0 255 0 	0 255 0 	34 38 61 	38 43 68 	38 43 68 	34 38 61 	34 38 61 
69 82 114 	69 82 114 	69 82 114 	38 43 68 	58 68 102 	0 255 0 	0 255 0 	0 255 0 	0 255 0 	0 255 0 	0 255 0 	34 38 61 	69 82 114 	69 82 114 	58 68 102 	58 68 102 
58 68 102 	58 68 102 	69 82 114 	38 43 68 	58 68 102 	0 200 0 	0 255 0 	0 255 0 	0 255 0 	0 255 0 	0 200 0 	38 43 68 	58 68 102 	58 68 102 	58 68 102 	58 68 102 
58 68 102 	58 68 102 	69 82 114 	34 38 61 	58 68 102 	58 68 102 	0 200 0 	0 200 0 	0 200 0 	0 200 0 	69 82 114 	38 43 68 	58 68 102 	58 68 102 	58 68 102 	58 68 102 
34 38 61 	34 38 61 	38 43 68 	34 38 61 	34 38 61 	34 38 61 	34 38 61 	38 43 68 	38 43 68 	34 38 61 	34 38 61 	34 38 61 	34 38 61 	34 38 61 	34 38 61 	34 38 61 
38 43 68 	58 68 102 	58 68 102 	58 68 102 	69 82 114 	69 82 114 	69 82 114 	69 82 114 	38 43 68 	69 82 114 	69 82 114 	58 68 102 	58 68 102 	69 82 114 	69 82 114 	69 82 114 
38 43 68 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	69 82 114 	38 43 68 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 
34 38 61 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	69 82 114 	34 38 61 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 
34 38 61 	34 38 61 	38 43 68 	38 43 68 	38 43 68 	34 38 61 	34 38 61 	34 38 61 	34 38 61 	34 38 61 	34 38 61 	34 38 61 	38 43 68 	38 43 68 	34 38 61 	34 38 61 

58 68 102 	69 82 114 	69 82 114 	38 43 68 	69 82 114 	69 82 114 	69 82 114 	69 82 114 	58 68 102 	69 82 114 	69 82 114 	38 43 68 	69 82 114 	69 82 114 	58 68 102 	58 68 102 
58 68 102 	58 68 102 	58 68 102 	38 43 68 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	69 82 114 	38 43 68 	58 68 102 	58 68 102 	58 68 102 	58 68 102
58 68 102 	58 68 102 	58 68 102 	38 43 68 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	69 82 114 	34 38 61 	58 68 102 	58 68 102 	58 68 102 	58 68 102 
38 43 68 	38 43 68 	34 38 61 	34 38 61 	34 38 61 	38 43 68 	38 43 68 	38 43 68 	38 43 68 	34 38 61 	34 38 61 	34 38 61 	34 38 61 	38 43 68 	38 43 68 	38 43 68 
38 43 68 	69 82 114 	69 82 114 	58 68 102 	58 68 102 	69 82 114 	69 82 114 	69 82 114 	38 43 68 	69 82 114 	69 82 114 	69 82 114 	69 82 114 	69 82 114 	69 82 114 	69 82 114 
38 43 68 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	38 43 68 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	69 82 114 
38 43 68 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	0 255 0 	0 255 0 	0 255 0 	0 255 0 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	58 68 102 	69 82 114 
34 38 61 	34 38 61 	38 43 68 	38 43 68 	38 43 68 	0 255 0 	0 255 0 	0 255 0 	0 255 0 	0 255 0 	0 255 0	34 38 61 	38 43 68 	38 43 68 	34 38 61 	34 38 61 
69 82 114 	69 82 114 	69 82 114 	38 43 68 	58 68 102 	0 255 0 	0 255 0 	0 255 0 	0 255 0 	0 255 0 	0 255 0	34 38 61 	69 82 114 	69 82 114 	58 68 102 	58 68 102 
58 68 102 	58 68 102 	69 82 114 	38 43 68 	58 68 102 	0 255 0 	0 255 0 	0 255 0 	0 255 0 	0 255 0 	0 255 0	38 43 68 	58 68 102 	58 68 102 	58 68 102 	58 68 102 
